✦  MELVIN SHAJAN — JOB APPLICATION TRACKER  ✦  Sorted by Your Probability of Getting In,,,,,,,,,,,,,,,,,,
"AI Engineer · LangGraph · RAG · Multi-Agent · FastAPI · Neo4j  |  Chennai, India  |  1 Year Exp  |  Open to Relocate",,,,,,,,,,,,,,,,,,
🟢 80%+ Chance = Apply TODAY   |   🟡 55-79% = Apply This Week   |   🔴 Below 55% = Safety Net / Later,,,,,,,,,,,,,,,,,,
Rank,Company,Role,Location,Type,Salary (LPA),Platform,Job URL,% Chance,Why You Fit,Applied Date,Status,Stage,HR Contact,Interview Date,Offer (LPA),Notes,Priority,Final Word
1,Mad Street Den,AI Engineer,Chennai,Full-Time,16-28 LPA,LinkedIn,https://www.linkedin.com/company/mad-street-den,🟢 92%,"Chennai-based AI startup, LLM focus, 1-yr exp accepted, exact skills match",,⏳ Yet to Apply,Not Started,,,,,🔥 High,⏳ Pending
2,Uniphore,Software Eng – AI,Chennai / Hybrid,Hybrid,20-35 LPA,LinkedIn,https://www.linkedin.com/company/uniphore,🟢 90%,"HQ in Chennai, conversational AI, Python+FastAPI+agents stack = perfect match",,⏳ Yet to Apply,Not Started,,,,,🔥 High,⏳ Pending
3,Freshworks,Software Eng (AI/ML),Chennai / Hybrid,Hybrid,20-35 LPA,Direct,https://careers.freshworks.com,🟢 88%,"Chennai base, known to hire freshers/1-yr, LLM & RAG roles available, strong brand",,⏳ Yet to Apply,Not Started,,,,,🔥 High,⏳ Pending
4,Cogno AI,AI Engineer,Bangalore,Full-Time,14-22 LPA,Wellfound,https://wellfound.com/company/cogno-ai,🟢 87%,"Small startup, agentic AI, LangChain heavy, 1-yr is fine, easy bar",,⏳ Yet to Apply,Not Started,,,,,🔥 High,⏳ Pending
5,Gnani.ai,AI / NLP Engineer,Bangalore,Full-Time,16-28 LPA,LinkedIn,https://www.linkedin.com/company/gnani-ai,🟢 87%,"Conversational AI startup, Python+NLP+RAG, actively hiring juniors",,⏳ Yet to Apply,Not Started,,,,,🔥 High,⏳ Pending
6,Senseforth.ai,AI Engineer,Bangalore,Full-Time,14-24 LPA,Wellfound,https://wellfound.com/company/senseforth,🟢 86%,"Small AI chatbot startup, exact LangChain/RAG match, low competition",,⏳ Yet to Apply,Not Started,,,,,🔥 High,⏳ Pending
7,Composio,Software Engineer,Remote / Bangalore,Remote,20-38 LPA,Wellfound,https://wellfound.com/company/composio,🟢 85%,"Integration platform for AI agents, LangGraph native, early-stage = high chance",,⏳ Yet to Apply,Not Started,,,,,🔥 High,⏳ Pending
8,Truefoundry,Software Eng – MLOps,Bangalore / Remote,Hybrid,16-28 LPA,Wellfound,https://wellfound.com/company/truefoundry,🟢 85%,"MLOps platform, Python+FastAPI+Docker match, small team, India-first hiring",,⏳ Yet to Apply,Not Started,,,,,🔥 High,⏳ Pending
9,Sarvam AI,AI/ML Engineer,Bangalore / Remote,Full-Time,20-35 LPA,Wellfound,https://wellfound.com/company/sarvam-ai,🟢 84%,"India's hottest AI startup, LLM-first, open to 1-yr talent, strong culture fit",,⏳ Yet to Apply,Not Started,,,,,🔥 High,⏳ Pending
10,Leena AI,NLP / AI Engineer,Gurgaon / Remote,Full-Time,18-32 LPA,Wellfound,https://wellfound.com/company/leena-ai,🟢 84%,"HR AI startup, LangChain + HR agent work = direct match with your NCompass exp",,⏳ Yet to Apply,Not Started,,,,,🔥 High,⏳ Pending
11,Quickwork,Integration / AI Engineer,Mumbai / Remote,Full-Time,12-20 LPA,Wellfound,https://wellfound.com/company/quickwork,🟢 83%,"Small team, workflow automation, LangChain/agents, India-based, easy threshold",,⏳ Yet to Apply,Not Started,,,,,🔥 High,⏳ Pending
